rule_id,risk_level,category,description,law_reference,law_article,suggestion,keywords
R001,high,违约责任,违约金约定过高超过实际损失30%可能被法院调减,民法典,第五百八十五条,建议约定违约金不超过实际损失的30%或设置违约金上限条款避免被法院调减,违约金过高 调减 实际损失
R002,high,违约责任,合同未约定单方解除权导致守约方无法及时止损,民法典,第五百六十三条,建议明确约定单方解除合同的情形和程序确保守约方在对方根本违约时有权解除合同,单方解除权 根本违约 解除合同
R003,high,违约责任,未约定不可抗力条款导致违约责任无法免除,民法典,第五百九十条,建议增加不可抗力条款明确不可抗力的定义通知义务和证明要求以及后果处理方式,不可抗力 免责 通知义务
R004,high,违约责任,违约责任条款仅约束一方导致权利义务不对等,民法典,第六条,建议确保违约责任条款对双方均有约束力避免出现仅约束一方的霸王条款,违约责任不对等 霸王条款 权利义务
R005,medium,违约责任,未约定违约情形的具体认定标准导致争议,民法典,第五百七十七条,建议明确列举构成违约的具体情形和认定标准减少履行中的争议,违约认定 违约情形 具体标准
R006,medium,违约责任,损害赔偿范围未明确约定导致赔偿金额争议,民法典,第五百八十四条,建议明确约定损害赔偿的范围包括直接损失和可得利益损失的计算方式,损害赔偿 可得利益 赔偿范围
R007,medium,违约责任,未约定违约后的减损义务导致损失扩大,民法典,第五百九十一条,建议约定守约方在对方违约后应采取合理措施防止损失扩大的义务及未尽减损义务的后果,减损义务 损失扩大 合理措施
R008,medium,违约责任,未约定违约金与实际损失的衔接关系,民法典,第五百八十五条,建议明确违约金与实际损失的关系如违约金不足以弥补实际损失时有权要求补足差额,违约金补足 实际损失 差额
R009,low,违约责任,违约通知方式和期限未约定导致维权迟延,民法典,第五百九十五条,建议约定违约通知的送达方式通知期限及未及时通知的后果,违约通知 送达方式 通知期限
R010,low,违约责任,未约定违约责任的免责情形导致责任过宽,民法典,第五百九十条,建议列举合理的免责情形如不可抗力政府行为第三方原因等,免责情形 政府行为 第三方原因
R011,high,付款条款,付款条件约定不明导致付款义务无法确定,民法典,第五百零九条,建议明确约定付款的金额币种时间地点和方式避免因付款条件不明产生争议,付款条件 付款义务 付款方式
